id_login,id_usuario,fecha_login,ip
LG6000,,2024-08-22 05:00:00,192.168.18.198
LG6001,,,192.168.1.214
LG6002,,,192.168.20.28
LG6003,,,192.168.12.135
LG6004,,,192.168.11.22
LG6005,,,192.168.18.36
LG6006,,,192.168.16.20
LG6007,,,192.168.4.86
LG6008,,,192.168.11.13
LG6009,,2024-02-07 05:00:00,192.168.9.56
LG6010,,2024-09-30 00:00:00,192.168.15.192
LG6011,,,ip_desconocida
LG6012,,,192.168.9.113
LG6013,,,192.168.0.173
LG6014,,,192.168.14.250
LG6015,,,ip_desconocida
LG6016,,,192.168.6.17
LG6017,,2024-10-18 22:00:00,192.168.4.103
LG6018,,,192.168.3.160
LG6019,,,192.168.18.208
LG6020,,,192.168.4.194
LG6021,,,192.168.8.91
LG6022,,,192.168.2.136
LG6023,,,192.168.13.72
LG6024,,,192.168.13.32
LG6025,,,192.168.19.195
LG6026,,,192.168.8.228
LG6027,,,192.168.16.104
LG6028,,,192.168.5.39
LG6029,,,192.168.15.109
LG6030,,,192.168.16.215
LG6031,,,192.168.2.11
LG6032,,,192.168.9.246
LG6033,,,192.168.13.223
LG6034,,,192.168.12.126
LG6035,,,192.168.12.239
LG6036,,,192.168.19.82
LG6037,,,192.168.14.82
LG6038,,,192.168.12.43
LG6039,,,192.168.16.60
LG6040,,,192.168.20.51
LG6041,,,192.168.0.16
LG6042,,,192.168.1.246
LG6043,,,192.168.10.52
LG6044,,,192.168.1.235
LG6045,,,192.168.12.123
LG6046,,,192.168.11.106
LG6047,,,192.168.11.69
LG6048,,,192.168.12.192
LG6049,,,999.999.1.1
LG6050,,,192.168.9.2
LG6051,,,192.168.19.61
LG6052,,,192.168.4.193
LG6053,,,192.168.19.43
LG6054,,,192.168.4.147
LG6055,,,192.168.14.144
LG6056,,,192.168.0.9
LG6057,,,192.168.4.213
LG6058,,,192.168.9.138
LG6059,,,192.168.12.168
LG6060,,,192.168.9.23
LG6061,,,192.168.0.183
LG6062,,,192.168.7.242
LG6063,,,192.168.17.129
LG6064,,,192.168.19.190
LG6065,,,192.168.11.116
LG6066,,,192.168.3.204
LG6067,,,192.168.17.200
LG6068,,2024-09-09 13:00:00,192.168.19.106
LG6069,,,192.168.13.70
LG6070,,,192.168.16.161
LG6071,,,192.168.16.232
LG6072,,,192.168.2.12
LG6073,,,ip_desconocida
LG6074,,,192.168.6.245
LG6075,,,192.168.15.13
LG6076,,,192.168.16.176
LG6077,,,192.168.11.8
LG6078,,,192.168.8.18
LG6079,,,192.168.13.36
LG6080,,,192.168.2.239
LG6081,,,192.168.13.88
LG6082,,,192.168.3.33
LG6083,,,192.168.14.197
LG6084,,,192.168.8.171
LG6085,,,192.168.14.4
LG6086,,,192.168.9.118
